DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG;JA_STIMMEN_PROZENT
2004.05.16;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;145312;63267;1640;684;60943;25580;35363;43.5;42
2004.11.28;Beschluss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;145946;48811;754;581;47476;37426;10050;33.4;78.8
2005.06.05;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;146648;77419;1867;1325;74227;32457;41770;52.8;43.7
2005.09.25;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (Südumfahrung Kreuzlingen);3;Obligatorisches Referendum;147242;85159;1216;1485;82458;35862;46596;57.8;43.5
2005.09.25;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (Thurtalstrasse);3;Obligatorisches Referendum;147242;84933;1228;1476;82229;39314;42915;57.7;47.8
2006.02.12;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;148022;38567;507;524;37536;23859;13677;26.1;63.6
2006.02.12;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;148022;38348;722;523;37103;25262;11841;32.2;48.1
2006.05.21;Volksinitiative Nur eine Fremdsprache an der Primarschule1;Volksinitiative;148474;47790;631;567;46592;22422;24170;32.2;48.1
2006.05.21;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;148474;47889;400;550;46939;18114;28825;32.3;38.6
2007.11.25;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;151082;43100;874;477;41749;18695;23054;28.5;44.8
2007.11.25;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;151082;43083;550;472;42061;31174;10887;28.5;74.1
2008.11.30;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;152610;68980;1198;1129;66653;32268;34385;45.2;48.4
2009.02.08;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;153000;70394;2077;1078;67239;51235;16004;46;76.2
2009.05.17;Gegenvorschlag des Grossen Rates zur Volksinitiative Schutz vor Passivrauchen;2;Volksinitiative mit Gegenentwurf: Gegenentwurf;153477;64134;7682;1416;62323;30158;24483;41.8;55.2
2009.05.17;Volksinitiative Schutz vor Passivrauchen;2;Volksinitiative mit Gegenentwurf: Initiative;153477;64134;395;1416;62323;25627;31075;41.8;45.2
2009.09.27;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;154304;61351;1855;772;58724;25836;32888;39.8;44
2009.09.27;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;154304;62601;857;783;60961;27632;33329;40.6;45.3
2009.11.29;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;154785;77257;2810;1264;73183;45208;27975;49.9;61.8
2010.03.07;Thurgauische Volksinitiative Ja! Freie Schulwahl für alle.;1;Volksinitiative;155001;69553;466;892;68195;11462;56733;44.9;16.8
2011.02.13;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;156757;70877;3898;1022;65957;52219;13738;45.2;79.2
2011.02.13;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;156757;73592;2333;1038;70221;47605;22616;46.9;67.8
2011.02.13;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;156757;72420;2332;1060;69028;45006;24022;46.2;65.2
2011.05.15;Gegenvorschlag zur Volksinitiative Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln;2;Volksinitiative mit Gegenentwurf: Gegenentwurf;157174;43244;2552;541;42007;24043;15412;27.5;60.9
2011.05.15;Volksinitiative Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln;2;Volksinitiative mit Gegenentwurf: Initiative;157174;43244;696;541;42007;19132;21541;27.5;47
2011.05.15;Stichfrage zur Volksinitiative mit Gegenvorschlag Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln;2;Volksinitiative mit Gegenentwurf: Stichfrage;157174;43244;1438;541;42007;18015;22554;27.5;44.4
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;157174;43380;846;515;42019;35386;6633;27.6;84.2
2011.05.15;Volksinitiative Faires Wahlsystem für die Grossratswahlen;1;Volksinitiative;157174;42723;1896;493;40334;15327;25007;27.2;38
2011.10.23;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;157917;72046;1685;1087;69274;47306;21968;45.6;68.3
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;159165;48134;1995;685;45454;29431;16023;30.2;64.7
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));5;Beschluss Grosser Rat;159907;86977;797;1407;84773;46267;38506;53.2;40.1
2012.09.23;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;159907;85034;1984;1345;81705;32789;48916;53.2;40.1
2016.06.05;Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts Expo2027 Bodensee-Ostschweiz;5;Beschluss Grosser Rat;165730;68048;948;931;66169;30812;35357;41.1;46.6
2016.11.27;Volksinitiative Ja zu einer guten Thurgauer Volksschule;1;Volksinitiative;166492;70436;1749;921;67766;16734;51032;42.3;24.7
2017.02.12;Volksabstimmung zum Gegenvorschlag zur Volksinitiative Ja zu einer intakten Thurgauer Kulturlandschaft;1;Volksinitiative;166796;67485;1533;897;65055;52511;12544;40.5;80.7
